код_мкб,название_диагноза,класс_заболевания
w56.1,контакт с морским животным. в специальном учреждении для проживания,внешние причины заболеваемости и смертности
w56.2,"контакт с морским животным. в школе, другом учреждении и общественном административном районе",внешние причины заболеваемости и смертности
w56.3,контакт с морским животным. на площадке для занятий спортом и спортивных соревнований,внешние причины заболеваемости и смертности
w56.4,контакт с морским животным. на улице или автомагистрали,внешние причины заболеваемости и смертности
w56.5,контакт с морским животным. в учреждении и районе торговли и обслуживания,внешние причины заболеваемости и смертности
w56.6,контакт с морским животным. на производственных и строительных площадях и в помещениях,внешние причины заболеваемости и смертности
w56.7,контакт с морским животным. на ферме,внешние причины заболеваемости и смертности
w56.8,контакт с морским животным. в других уточненных местах,внешние причины заболеваемости и смертности
w56.9,контакт с морским животным. в неуточненном месте,внешние причины заболеваемости и смертности
w57,укус или ужаливание неядовитым насекомым и другими неядовитыми членистоногими,внешние причины заболеваемости и смертности
w57.0,"укус или ужаливание неядовитым насекомым и другими неядовитыми членистоногими. в доме, квартире, жилом здании",внешние причины заболеваемости и смертности
w57.1,укус или ужаливание неядовитым насекомым и другими неядовитыми членистоногими. в специальном учреждении для проживания,внешние причины заболеваемости и смертности
w57.3,укус или ужаливание неядовитым насекомым и другими неядовитыми членистоногими. на площадке для занятий спортом и спортивных соревнований,внешние причины заболеваемости и смертности
w57.4,укус или ужаливание неядовитым насекомым и другими неядовитыми членистоногими. на улице или автомагистрали,внешние причины заболеваемости и смертности
z57.6,неблагоприятное воздействие производственных экстремальных температур,не определен
w57.5,укус или ужаливание неядовитым насекомым и другими неядовитыми членистоногими. в учреждении и районе торговли и обслуживания,внешние причины заболеваемости и смертности
w57.6,укус или ужаливание неядовитым насекомым и другими неядовитыми членистоногими. на производственных и строительных площадях и в помещениях,внешние причины заболеваемости и смертности
w57.7,укус или ужаливание неядовитым насекомым и другими неядовитыми членистоногими. на ферме,внешние причины заболеваемости и смертности
w57.8,укус или ужаливание неядовитым насекомым и другими неядовитыми членистоногими. в других уточненных местах,внешние причины заболеваемости и смертности
w57.9,укус или ужаливание неядовитым насекомым и другими неядовитыми членистоногими. в неуточненном месте,внешние причины заболеваемости и смертности
w58,"укус или удар, нанесенный крокодилом",внешние причины заболеваемости и смертности
w58.0,"укус или удар, нанесенный крокодилом. в доме, квартире, жилом здании",внешние причины заболеваемости и смертности
w58.1,"укус или удар, нанесенный крокодилом. в специальном учреждении для проживания",внешние причины заболеваемости и смертности
w58.2,"укус или удар, нанесенный крокодилом. в школе, другом учреждении и общественном административном районе",внешние причины заболеваемости и смертности
w58.3,"укус или удар, нанесенный крокодилом. на площадке для занятий спортом и спортивных соревнований",внешние причины заболеваемости и смертности
w58.4,"укус или удар, нанесенный крокодилом. на улице или автомагистрали",внешние причины заболеваемости и смертности
w58.5,"укус или удар, нанесенный крокодилом. в учреждении и районе торговли и обслуживания",внешние причины заболеваемости и смертности
w58.6,"укус или удар, нанесенный крокодилом. на производственных и строительных площадях и в помещениях",внешние причины заболеваемости и смертности
w58.7,"укус или удар, нанесенный крокодилом. на ферме",внешние причины заболеваемости и смертности
w58.8,"укус или удар, нанесенный крокодилом. в других уточненных местах",внешние причины заболеваемости и смертности
w58.9,"укус или удар, нанесенный крокодилом. в неуточненном месте",внешние причины заболеваемости и смертности
w59,укус или раздавливание другими рептилиями,внешние причины заболеваемости и смертности
w59.0,"укус или раздавливание другими рептилиями. в доме, квартире, жилом здании",внешние причины заболеваемости и смертности
w59.1,укус или раздавливание другими рептилиями. в специальном учреждении для проживания,внешние причины заболеваемости и смертности
w59.2,"укус или раздавливание другими рептилиями. в школе, другом учреждении и общественном административном районе",внешние причины заболеваемости и смертности
w59.3,укус или раздавливание другими рептилиями. на площадке для занятий спортом и спортивных соревнований,внешние причины заболеваемости и смертности
w59.4,укус или раздавливание другими рептилиями. на улице или автомагистрали,внешние причины заболеваемости и смертности
w59.5,укус или раздавливание другими рептилиями. в учреждении и районе торговли и обслуживания,внешние причины заболеваемости и смертности
w59.6,укус или раздавливание другими рептилиями. на производственных и строительных площадях и в помещениях,внешние причины заболеваемости и смертности
w59.7,укус или раздавливание другими рептилиями. на ферме,внешние причины заболеваемости и смертности
w59.8,укус или раздавливание другими рептилиями. в других уточненных местах,внешние причины заболеваемости и смертности
w59.9,укус или раздавливание другими рептилиями. в неуточненном месте,внешние причины заболеваемости и смертности
w60,контакт с шипами и колючками растений или листьями с острыми краями,внешние причины заболеваемости и смертности
w60.0,"контакт с шипами и колючками растений или листьями с острыми краями. в доме, квартире, жилом здании",внешние причины заболеваемости и смертности
w60.1,контакт с шипами и колючками растений или листьями с острыми краями. в специальном учреждении для проживания,внешние причины заболеваемости и смертности
w60.2,"контакт с шипами и колючками растений или листьями с острыми краями. в школе, другом учреждении и общественном административном районе",внешние причины заболеваемости и смертности
w60.3,контакт с шипами и колючками растений или листьями с острыми краями. на площадке для занятий спортом и спортивных соревнований,внешние причины заболеваемости и смертности
w60.4,контакт с шипами и колючками растений или листьями с острыми краями. на улице или автомагистрали,внешние причины заболеваемости и смертности
w60.5,контакт с шипами и колючками растений или листьями с острыми краями. в учреждении и районе торговли и обслуживания,внешние причины заболеваемости и смертности
w60.6,контакт с шипами и колючками растений или листьями с острыми краями. на производственных и строительных площадях и в помещениях,внешние причины заболеваемости и смертности
w60.7,контакт с шипами и колючками растений или листьями с острыми краями. на ферме,внешние причины заболеваемости и смертности
w60.8,контакт с шипами и колючками растений или листьями с острыми краями. в других уточненных местах,внешние причины заболеваемости и смертности
w60.9,контакт с шипами и колючками растений или листьями с острыми краями. в неуточненном месте,внешние причины заболеваемости и смертности
w64,воздействие других и неуточненных живых механических сил,внешние причины заболеваемости и смертности
w64.0,"воздействие других и неуточненных живых механических сил. в доме, квартире, жилом здании",внешние причины заболеваемости и смертности
w64.1,воздействие других и неуточненных живых механических сил. в специальном учреждении для проживания,внешние причины заболеваемости и смертности
w64.2,"воздействие других и неуточненных живых механических сил. в школе, другом учреждении и общественном административном районе",внешние причины заболеваемости и смертности
w64.3,воздействие других и неуточненных живых механических сил. на площадке для занятий спортом и спортивных соревнований,внешние причины заболеваемости и смертности
w64.4,воздействие других и неуточненных живых механических сил. на улице или автомагистрали,внешние причины заболеваемости и смертности
w64.5,воздействие других и неуточненных живых механических сил. в учреждении и районе торговли и обслуживания,внешние причины заболеваемости и смертности
w64.6,воздействие других и неуточненных живых механических сил. на производственных и строительных площадях и в помещениях,внешние причины заболеваемости и смертности
w64.7,воздействие других и неуточненных живых механических сил. на ферме,внешние причины заболеваемости и смертности
w64.8,воздействие других и неуточненных живых механических сил. в других уточненных местах,внешние причины заболеваемости и смертности
w64.9,воздействие других и неуточненных живых механических сил. в неуточненном месте,внешние причины заболеваемости и смертности
w65-w74,случайное утопление и погружение в воду,внешние причины заболеваемости и смертности
w65,утопление и погружение в воду во время принятия ванны,внешние причины заболеваемости и смертности
w65.0,"утопление и погружение в воду во время принятия ванны. в доме, квартире, жилом здании",внешние причины заболеваемости и смертности
w65.1,утопление и погружение в воду во время принятия ванны. в специальном учреждении для проживания,внешние причины заболеваемости и смертности
w65.2,"утопление и погружение в воду во время принятия ванны. в школе, другом учреждении и общественном административном районе",внешние причины заболеваемости и смертности
w65.3,утопление и погружение в воду во время принятия ванны. на площадке для занятий спортом и спортивных соревнований,внешние причины заболеваемости и смертности
w65.4,утопление и погружение в воду во время принятия ванны. на улице или автомагистрали,внешние причины заболеваемости и смертности
w65.5,утопление и погружение в воду во время принятия ванны. в учреждении и районе торговли и обслуживания,внешние причины заболеваемости и смертности
w65.6,утопление и погружение в воду во время принятия ванны. на производственных и строительных площадях и в помещениях,внешние причины заболеваемости и смертности
w65.7,утопление и погружение в воду во время принятия ванны. на ферме,внешние причины заболеваемости и смертности
w65.8,утопление и погружение в воду во время принятия ванны. в других уточненных местах,внешние причины заболеваемости и смертности
w65.9,утопление и погружение в воду во время принятия ванны. в неуточненном месте,внешние причины заболеваемости и смертности
w66,утопление и погружение в воду в результате падения в ванну,внешние причины заболеваемости и смертности
w66.0,"утопление и погружение в воду в результате падения в ванну. в доме, квартире, жилом здании",внешние причины заболеваемости и смертности
w66.1,утопление и погружение в воду в результате падения в ванну. в специальном учреждении для проживания,внешние причины заболеваемости и смертности
w66.2,"утопление и погружение в воду в результате падения в ванну. в школе, другом учреждении и общественном административном районе",внешние причины заболеваемости и смертности
w66.3,утопление и погружение в воду в результате падения в ванну. на площадке для занятий спортом и спортивных соревнований,внешние причины заболеваемости и смертности
w66.4,утопление и погружение в воду в результате падения в ванну. на улице или автомагистрали,внешние причины заболеваемости и смертности
w66.5,утопление и погружение в воду в результате падения в ванну. в учреждении и районе торговли и обслуживания,внешние причины заболеваемости и смертности
w66.6,утопление и погружение в воду в результате падения в ванну. на производственных и строительных площадях и в помещениях,внешние причины заболеваемости и смертности
w66.7,утопление и погружение в воду в результате падения в ванну. на ферме,внешние причины заболеваемости и смертности
w66.8,утопление и погружение в воду в результате падения в ванну. в других уточненных местах,внешние причины заболеваемости и смертности
w66.9,утопление и погружение в воду в результате падения в ванну. в неуточненном месте,внешние причины заболеваемости и смертности
w67,утопление и погружение в воду во время нахождения в плавательном бассейне,внешние причины заболеваемости и смертности
w67.0,"утопление и погружение в воду во время нахождения в плавательном бассейне. в доме, квартире, жилом здании",внешние причины заболеваемости и смертности
w67.1,утопление и погружение в воду во время нахождения в плавательном бассейне. в специальном учреждении для проживания,внешние причины заболеваемости и смертности
w67.2,"утопление и погружение в воду во время нахождения в плавательном бассейне. в школе, другом учреждении и общественном административном районе",внешние причины заболеваемости и смертности
w67.3,утопление и погружение в воду во время нахождения в плавательном бассейне. на площадке для занятий спортом и спортивных соревнований,внешние причины заболеваемости и смертности
w67.4,утопление и погружение в воду во время нахождения в плавательном бассейне. на улице или автомагистрали,внешние причины заболеваемости и смертности
w67.5,утопление и погружение в воду во время нахождения в плавательном бассейне. в учреждении и районе торговли и обслуживания,внешние причины заболеваемости и смертности
w67.6,утопление и погружение в воду во время нахождения в плавательном бассейне. на производственных и строительных площадях и в помещениях,внешние причины заболеваемости и смертности
w67.7,утопление и погружение в воду во время нахождения в плавательном бассейне. на ферме,внешние причины заболеваемости и смертности
w67.8,утопление и погружение в воду во время нахождения в плавательном бассейне. в других уточненных местах,внешние причины заболеваемости и смертности
w67.9,утопление и погружение в воду во время нахождения в плавательном бассейне. в неуточненном месте,внешние причины заболеваемости и смертности
w68,утопление и погружение в воду в результате падения в плавательный бассейн,внешние причины заболеваемости и смертности
w68.0,"утопление и погружение в воду в результате падения в плавательный бассейн. в доме, квартире, жилом здании",внешние причины заболеваемости и смертности
w68.1,утопление и погружение в воду в результате падения в плавательный бассейн. в специальном учреждении для проживания,внешние причины заболеваемости и смертности
w68.2,"утопление и погружение в воду в результате падения в плавательный бассейн. в школе, другом учреждении и общественном административном районе",внешние причины заболеваемости и смертности
w68.3,утопление и погружение в воду в результате падения в плавательный бассейн. на площадке для занятий спортом и спортивных соревнований,внешние причины заболеваемости и смертности
w68.4,утопление и погружение в воду в результате падения в плавательный бассейн. на улице или автомагистрали,внешние причины заболеваемости и смертности
w68.5,утопление и погружение в воду в результате падения в плавательный бассейн. в учреждении и районе торговли и обслуживания,внешние причины заболеваемости и смертности
w68.6,утопление и погружение в воду в результате падения в плавательный бассейн. на производственных и строительных площадях и в помещениях,внешние причины заболеваемости и смертности
w68.7,утопление и погружение в воду в результате падения в плавательный бассейн. на ферме,внешние причины заболеваемости и смертности
w68.8,утопление и погружение в воду в результате падения в плавательный бассейн. в других уточненных местах,внешние причины заболеваемости и смертности
w68.9,утопление и погружение в воду в результате падения в плавательный бассейн. в неуточненном месте,внешние причины заболеваемости и смертности
w69,утопление и погружение в воду во время нахождения в естественном водоеме,внешние причины заболеваемости и смертности
w69.0,"утопление и погружение в воду во время нахождения в естественном водоеме. в доме, квартире, жилом здании",внешние причины заболеваемости и смертности
w69.1,утопление и погружение в воду во время нахождения в естественном водоеме. в специальном учреждении для проживания,внешние причины заболеваемости и смертности
w69.2,"утопление и погружение в воду во время нахождения в естественном водоеме. в школе, другом учреждении и общественном административном районе",внешние причины заболеваемости и смертности
w69.3,утопление и погружение в воду во время нахождения в естественном водоеме. на площадке для занятий спортом и спортивных соревнований,внешние причины заболеваемости и смертности
w69.4,утопление и погружение в воду во время нахождения в естественном водоеме. на улице или автомагистрали,внешние причины заболеваемости и смертности
w69.5,утопление и погружение в воду во время нахождения в естественном водоеме. в учреждении и районе торговли и обслуживания,внешние причины заболеваемости и смертности
w69.6,на производственных и строительных площадях и в помещениях,внешние причины заболеваемости и смертности
w69.7,утопление и погружение в воду во время нахождения в естественном водоеме. на ферме,внешние причины заболеваемости и смертности
w69.8,утопление и погружение в воду во время нахождения в естественном водоеме. в других уточненных местах,внешние причины заболеваемости и смертности
w69.9,утопление и погружение в воду во время нахождения в естественном водоеме. в неуточненном месте,внешние причины заболеваемости и смертности
w70,утопление и погружение в воду в результате падения в естественный водоем,внешние причины заболеваемости и смертности
w70.0,"утопление и погружение в воду в результате падения в естественный водоем. в доме, квартире, жилом здании",внешние причины заболеваемости и смертности
z57.7,неблагоприятное воздействие производственной вибрации,не определен
w70.1,утопление и погружение в воду в результате падения в естественный водоем. в специальном учреждении для проживания,внешние причины заболеваемости и смертности
w70.2,"утопление и погружение в воду в результате падения в естественный водоем. в школе, другом учреждении и общественном административном районе",внешние причины заболеваемости и смертности
w70.3,утопление и погружение в воду в результате падения в естественный водоем. на площадке для занятий спортом и спортивных соревнований,внешние причины заболеваемости и смертности
w70.4,утопление и погружение в воду в результате падения в естественный водоем. на улице или автомагистрали,внешние причины заболеваемости и смертности
w70.5,утопление и погружение в воду в результате падения в естественный водоем. в учреждении и районе торговли и обслуживания,внешние причины заболеваемости и смертности
w70.6,утопление и погружение в воду в результате падения в естественный водоем. на производственных и строительных площадях и в помещениях,внешние причины заболеваемости и смертности
w70.7,утопление и погружение в воду в результате падения в естественный водоем. на ферме,внешние причины заболеваемости и смертности
w70.8,утопление и погружение в воду в результате падения в естественный водоем. в других уточненных местах,внешние причины заболеваемости и смертности
w70.9,утопление и погружение в воду в результате падения в естественный водоем. в неуточненном месте,внешние причины заболеваемости и смертности
w73,другие уточненные случаи утопления и погружения в воду,внешние причины заболеваемости и смертности
w73.0,"другие уточненные случаи утопления и погружения в воду. в доме, квартире, жилом здании",внешние причины заболеваемости и смертности
w73.1,другие уточненные случаи утопления и погружения в воду. в специальном учреждении для проживания,внешние причины заболеваемости и смертности
w73.2,"другие уточненные случаи утопления и погружения в воду. в школе, другом учреждении и общественном административном районе",внешние причины заболеваемости и смертности
w73.3,другие уточненные случаи утопления и погружения в воду. на площадке для занятий спортом и спортивных соревнований,внешние причины заболеваемости и смертности
w73.4,другие уточненные случаи утопления и погружения в воду. на улице или автомагистрали,внешние причины заболеваемости и смертности
w73.5,другие уточненные случаи утопления и погружения в воду. в учреждении и районе торговли и обслуживания,внешние причины заболеваемости и смертности
w73.6,другие уточненные случаи утопления и погружения в воду. на производственных и строительных площадях и в помещениях,внешние причины заболеваемости и смертности
w73.7,другие уточненные случаи утопления и погружения в воду. на ферме,внешние причины заболеваемости и смертности
w73.8,другие уточненные случаи утопления и погружения в воду. в других уточненных местах,внешние причины заболеваемости и смертности
w73.9,другие уточненные случаи утопления и погружения в воду. в неуточненном месте,внешние причины заболеваемости и смертности
w74,случаи утопления и погружения в воду неуточненные,внешние причины заболеваемости и смертности
w74.0,"случаи утопления и погружения в воду неуточненные. в доме, квартире, жилом здании",внешние причины заболеваемости и смертности
w74.1,случаи утопления и погружения в воду неуточненные. в специальном учреждении для проживания,внешние причины заболеваемости и смертности
w74.2,"случаи утопления и погружения в воду неуточненные. в школе, другом учреждении и общественном административном районе",внешние причины заболеваемости и смертности
w74.3,случаи утопления и погружения в воду неуточненные. на площадке для занятий спортом и спортивных соревнований,внешние причины заболеваемости и смертности
w74.4,случаи утопления и погружения в воду неуточненные. на улице или автомагистрали,внешние причины заболеваемости и смертности
w74.5,случаи утопления и погружения в воду неуточненные. в учреждении и районе торговли и обслуживания,внешние причины заболеваемости и смертности
w74.6,случаи утопления и погружения в воду неуточненные. на производственных и строительных площадях и в помещениях,внешние причины заболеваемости и смертности
w74.7,случаи утопления и погружения в воду неуточненные. на ферме,внешние причины заболеваемости и смертности
w74.8,случаи утопления и погружения в воду неуточненные. в других уточненных местах,внешние причины заболеваемости и смертности
w74.9,случаи утопления и погружения в воду неуточненные. в неуточненном месте,внешние причины заболеваемости и смертности
w75-w84,другие несчастные случаи с угрозой дыханию,внешние причины заболеваемости и смертности
w75,случайное удушение и удавление в кровати,внешние причины заболеваемости и смертности
w75.0,"случайное удушение и удавление в кровати. в доме, квартире, жилом здании",внешние причины заболеваемости и смертности
w75.1,случайное удушение и удавление в кровати. в специальном учреждении для проживания,внешние причины заболеваемости и смертности
w75.2,"случайное удушение и удавление в кровати. в школе, другом учреждении и общественном административном районе",внешние причины заболеваемости и смертности
w75.3,случайное удушение и удавление в кровати. на площадке для занятий спортом и спортивных соревнований,внешние причины заболеваемости и смертности
w75.4,случайное удушение и удавление в кровати. на улице или автомагистрали,внешние причины заболеваемости и смертности
w75.5,случайное удушение и удавление в кровати. в учреждении и районе торговли и обслуживания,внешние причины заболеваемости и смертности
w75.6,случайное удушение и удавление в кровати. на производственных и строительных площадях и в помещениях,внешние причины заболеваемости и смертности
w75.7,случайное удушение и удавление в кровати. на ферме,внешние причины заболеваемости и смертности
w75.8,случайное удушение и удавление в кровати. в других уточненных местах,внешние причины заболеваемости и смертности
w75.9,случайное удушение и удавление в кровати. в неуточненном месте,внешние причины заболеваемости и смертности
w76,другие случайные повешения и удавления,внешние причины заболеваемости и смертности
w76.0,"другие случайные повешения и удавления. в доме, квартире, жилом здании",внешние причины заболеваемости и смертности
w76.1,другие случайные повешения и удавления. в специальном учреждении для проживания,внешние причины заболеваемости и смертности
w76.2,"другие случайные повешения и удавления. в школе, другом учреждении и общественном административном районе",внешние причины заболеваемости и смертности
w76.3,другие случайные повешения и удавления. на площадке для занятий спортом и спортивных соревнований,внешние причины заболеваемости и смертности
w76.4,другие случайные повешения и удавления. на улице или автомагистрали,внешние причины заболеваемости и смертности
w76.5,другие случайные повешения и удавления. в учреждении и районе торговли и обслуживания,внешние причины заболеваемости и смертности
w76.6,другие случайные повешения и удавления. на производственных и строительных площадях и в помещениях,внешние причины заболеваемости и смертности
w76.7,другие случайные повешения и удавления. на ферме,внешние причины заболеваемости и смертности
